"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"143","tesseract","[59, 55, 54, 53, 190, 71, 71, 16, 6, 35, 23, 40, 35, 40, 40, 45, 44, 56, 56, 63, 56, 65, 64, 65, 68, 71, 71, 71, 71, 74, 74, 114, 128, 162, 188, 188, 4, 6, 23, 4, 1, 5, 5]","[394, 360, 333, 332, 929, 555, 545, 69, 65, 171, 129, 267, 176, 270, 268, 308, 294, 378, 363, 410, 381, 448, 414, 475, 512, 546, 550, 560, 567, 602, 605, 690, 792, 879, 922, 923, 17, 63, 131, 6, 1, 27, 25]"
"144","thor","[59, 64, 5, 26, 142, 114, 186, 146, 71, 70, 95, 71]","[394, 413, 47, 147, 824, 690, 913, 847, 561, 543, 650, 572]"
"145","tony","[118, 73, 71, 65, 65, 65, 37, 37]","[735, 582, 549, 475, 472, 471, 212, 211]"
"146","tower","[186, 37, 65, 36, 37]","[914, 207, 472, 180, 197]"
"147","turn","[4, 6, 152, 174, 128, 146, 64, 123, 5, 56, 64, 68, 70, 18, 64]","[9, 63, 860, 904, 792, 844, 439, 762, 29, 372, 429, 519, 541, 73, 412]"
"148","understand","[64, 117, 190]","[444, 709, 928]"
"149","uniform","[38, 38]","[258, 259]"
"150","waiting","[35]","[175]"
"151","walks","[124, 82, 64, 104]","[785, 625, 427, 665]"
"151","walk","[124, 82, 64, 104]","[785, 625, 427, 665]"
"152","watch","[71]","[575]"
"153","weapons","[71, 71, 71]","[560, 572, 549]"
"154","wipe","[23, 69, 168, 69, 117]","[129, 534, 892, 535, 726]"
"155","world","[26, 35, 35, 35, 1, 1, 4, 5, 69, 59, 191, 71, 38, 190, 56, 55, 69, 64, 190, 71, 35, 35, 63, 56]","[152, 163, 164, 168, 1, 3, 20, 51, 532, 394, 935, 565, 251, 929, 382, 347, 531, 414, 928, 553, 173, 171, 408, 373]"
"156","wrong","[71, 86, 35, 65, 21]","[553, 639, 175, 488, 102]"
"157","york","[188, 65, 65, 174]","[917, 472, 452, 904]"
"158","act","[4]","[20]"
"159","ally","[1]","[2]"
"160","angry","[143, 143, 72, 97]","[840, 839, 576, 656]"
"161","army","[174, 137, 128, 124, 124, 59]","[904, 802, 792, 784, 781, 394]"
"162","asgardian","[56, 53, 40]","[373, 332, 270]"
"163","attention","[137, 95]","[802, 652]"
"164","awake","[109, 116]","[677, 696]"
"165","belongs","[190, 74]","[929, 605]"
"166","bilge","[68, 68]","[507, 508]"
"167","bit","[71, 124]","[553, 771]"
"168","blow","[65, 173, 5, 19]","[490, 902, 56, 84]"
"169","boss","[109, 111]","[677, 684]"
"170","brother","[59, 56, 124, 5, 26]","[394, 372, 778, 47, 146]"
"171","bruce","[82]","[624]"
"172","budapest","[137]","[802]"
"173","bunk","[37]","[209]"
"174","cage","[23, 56]","[136, 382]"
"175","call","[44, 37, 65, 56, 18, 114, 190, 35, 59, 113, 69, 124, 146, 149]","[299, 209, 460, 382, 71, 690, 929, 173, 394, 688, 528, 774, 843, 853]"
"176","cards","[122, 41]","[758, 275]"
"177","care","[69, 59, 41]","[528, 394, 282]"
"178","celebrating","[35, 37]","[163, 219]"
"179","change","[71, 124, 68, 69, 124]","[553, 774, 506, 535, 772]"
"180","clean","[5, 36, 65]","[39, 180, 475]"
