"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"165","lord","[137,198,33,208,201,147,147,148,231,202,33,231,28,165,34,28,160,32,59,28,172,33,231,138,165,172,231,202,198,172]","[331,678,169,731,703,409,407,413,811,711,162,814,143,517,171,142,498,167,201,145,538,166,815,333,516,535,813,713,682,537]"
"166","lose","[190]","[633]"
"167","lot","[205,154]","[718,457]"
"168","princess","[16,108,23,192,8,15,21,54,190,238,222,8,223,16,47,247,148,15,244,13,192,201,208,23,76,223,208,225,207,185,232,235,187]","[89,269,120,640,50,83,103,198,633,827,785,64,791,87,192,834,417,82,830,75,641,702,732,123,223,789,735,798,724,621,819,825,622]"
"168","luke","[208,223,47,223,192,201,13,244,222,21,208,54,148,8,76,207,23,16,192,16,190,225,108,8,15,235,247,15,232,238,187,23,185]","[735,791,192,789,641,702,75,830,785,103,732,198,417,50,223,724,120,87,640,89,633,798,269,64,82,825,834,83,819,827,622,123,621]"
"169","main","[164,59,79]","[505,201,224]"
"170","make","[171,175]","[530,555]"
"171","meet","[179,246]","[583,833]"
"172","mind","[150,174,192,132,158,168]","[438,543,642,321,484,525]"
"173","mine","[183,146,146]","[608,373,363]"
"174","move","[209,33,209,148,174,146,168,23,164]","[736,162,737,412,544,373,524,121,511]"
"175","officer","[8]","[55]"
"176","open","[218,225,35,179]","[771,798,178,588]"
"177","pain","[175]","[567]"
"178","patience","[149,148,148,191,150]","[432,428,426,635,433]"
"179","people","[201,193,231]","[709,656,806]"
"180","perfect","[208,174,201]","[729,542,705]"
"181","pieces","[240]","[828]"
"182","place","[143,143,158,5]","[347,348,487,11]"
"183","point","[246,34]","[833,174]"
"184","power","[97,32,218,222,97,221,147,154,59,171,143,140,149,147,148,148,147,164,35]","[249,160,770,779,247,777,385,461,201,530,346,334,431,404,429,425,382,507,178]"
"185","pretty","[132]","[321]"
"186","son","[234,148]","[821,425]"
"187","probe","[26,27,25]","[137,138,132]"
"188","problems","[184,201]","[609,707]"
"189","punch","[107,231]","[267,809]"
"190","put","[143,205,133,143,144,8,212]","[351,719,322,346,359,44,753]"
"191","ready","[165,150,238,207,143,244,54,8,164,150,34,107,231,150]","[517,438,827,721,346,830,199,65,500,437,170,267,806,436]"
"192","rebel","[36,159,28]","[179,492,142]"
"193","release","[213,174]","[764,541]"
"194","replace","[147,147]","[382,383]"
"195","responsible","[184,184]","[613,610]"
"196","retreat","[92]","[245]"
"197","rieekan","[23]","[109]"
"198","rock","[154,171]","[456,530]"
"199","rogue","[59,80,59,59,54,18,80,59,59,19,19]","[205,225,204,202,197,100,226,206,203,102,101]"
"200","scoundrel","[147,147,175]","[389,400,553]"
"201","sensors","[2]","[4]"
"202","set","[83,47]","[230,192]"
"203","ship","[181,208,87,192,154,181,36,137,147,34,171,154,165,181,144,138,202,147,165,148,144]","[595,732,237,647,461,596,179,332,408,172,530,455,514,607,361,333,711,382,513,412,362]"
"204","shut","[140,196,200,115,164]","[334,669,695,280,510]"
"205","side","[157,157,158,189,157,192,222]","[478,481,487,628,479,641,779]"
"206","sir","[30,26,102,8,159,28,147,28,122,152,41,231,15,29,14,147,160,117,21,140,181,36,140,24,147,8,115]","[153,137,260,62,492,141,406,148,302,445,183,814,79,150,76,382,494,284,103,335,601,179,337,126,404,56,280]"
"207","skywalker","[148,18,148,212,8,209,202,8,201,14,208,212,202,148,5,28,19,198,208,5]","[425,100,421,759,58,736,712,65,701,76,730,760,710,417,11,146,101,679,731,12]"
"208","small","[165,29,196,184,196]","[514,151,666,609,668]"
"209","space","[2]","[4]"
"210","speeders","[28,23]","[147,124]"
"211","stand","[174,175,37,240,54]","[541,560,181,828,197]"
"212","star","[160,34,164,227,114,32]","[494,173,509,805,278,159]"
"213","stardestroyer","[164,227]","[509,801]"
"214","start","[157,59,25]","[478,201,134]"
"215","station","[24,45]","[128,190]"
"216","stay","[84,133,146,6,5,28,200,34,146,154]","[231,322,378,34,15,147,697,172,374,455]"
"217","steady","[83,47,2,59]","[230,193,6,204]"
