"DIALOGUE ID","START TIME","END TIME"
"336","0:46:36","0:46:49"
"337","0:46:44","0:46:49"
"338","0:46:49","0:46:52"
"339","0:46:49","0:46:54"
"340","0:46:52","0:46:54"
"341","0:46:52","0:47:31"
"342","0:47:27","0:47:31"
"343","0:47:36","0:48:00"
"344","0:47:57","0:48:00"
"345","0:48:00","0:48:02"
"346","0:48:02","0:48:06"
"347","0:48:02","0:48:11"
"348","0:48:08","0:48:23"
"349","0:48:25","0:48:30"
"350","0:48:28","0:48:30"
"351","0:48:28","0:48:42"
"352","0:48:37","0:48:48"
"353","0:48:46","0:48:55"
"354","0:48:53","0:48:55"
"355","0:48:53","0:49:03"
"356","0:49:01","0:49:08"
"357","0:49:09","0:49:12"
"358","0:49:09","0:49:22"
"359","0:49:20","0:49:22"
"360","0:49:20","0:49:29"
"361","0:49:25","0:49:29"
"362","0:49:30","0:49:51"
"363","0:49:48","0:49:51"
"364","0:49:52","0:49:56"
"365","0:49:54","0:49:56"
"366","0:49:54","0:50:03"
"367","0:50:00","0:50:15"
"368","0:50:12","0:50:15"
"369","0:50:19","0:50:25"
"370","0:50:21","0:50:25"
"371","0:50:25","0:50:36"
"372","0:50:33","0:50:40"
"373","0:50:36","0:50:44"
"374","0:50:40","0:50:44"
"375","0:50:44","0:50:48"
"376","0:50:48","0:50:52"
"377","0:50:52","0:50:53"
"378","0:51:07","0:51:25"
"379","0:51:21","0:51:28"
"380","0:51:29","0:51:34"
"381","0:51:31","0:51:34"
"382","0:51:31","0:51:39"
"383","0:51:39","0:51:42"
"384","0:51:47","0:51:49"
"385","0:51:47","0:51:49"
"386","0:51:53","0:52:09"
"387","0:52:06","0:52:09"
"388","0:52:06","0:52:21"
"389","0:52:17","0:52:21"
"390","0:52:17","0:52:21"
"391","0:52:21","0:52:23"
"392","0:52:46","0:52:48"
"393","0:52:46","0:52:48"
"394","0:52:46","0:52:48"
"395","0:52:46","0:52:48"
"396","0:52:46","0:52:48"
"397","0:52:46","0:52:53"
"398","0:52:51","0:53:10"
"399","0:53:07","0:53:24"
"400","0:53:24","0:53:39"
"401","0:53:35","0:54:01"
"402","0:53:57","0:54:01"
"403","0:54:12","0:54:16"
